task_id,device_id,decision,arrival_time_s,queue_enter_time_s,start_time_s,end_time_s,queue_delay_ms,proc_delay_ms,tx_delay_ms,total_latency_ms,energy_j,deadline_ms,status,drop_reason,sla_violation
task_63_2,dev_63,offload,14.405600000000002,14.405600000000002,,,7.600000000000051,0.0,7.579462046967195,,0.0,1.8000000000000003,drop,deadline_miss,
task_71_0,dev_71,offload,14.4366,14.4366,,,6.199999999999761,0.0,6.16056227501682,,0.0,1.9,drop,deadline_miss,
task_83_0,dev_83,offload,14.58,14.58,,,8.100000000000662,0.0,8.066652289290792,,0.0,1.6,drop,deadline_miss,
task_188_0,dev_188,offload,14.643400000000002,14.643400000000002,,,3.1999999999996476,0.0,3.1820444230517446,,0.0,1.2000000000000002,drop,deadline_miss,
task_51_0,dev_51,offload,14.669400000000001,14.669400000000001,,,7.09999999999944,0.0,7.13241793507398,,0.0,2.9000000000000004,drop,deadline_miss,
task_168_1,dev_168,offload,14.9108,14.9108,,,3.400000000000958,0.0,3.4376730028320526,,0.0,2.6000000000000005,drop,deadline_miss,
task_116_1,dev_116,offload,14.9305,14.9305,,,7.799999999999585,0.0,7.78740600171745,,0.0,2.6000000000000005,drop,deadline_miss,
task_154_0,dev_154,offload,15.0202,15.0202,,,3.2999999999994145,0.0,3.2530409714460924,,0.0,2.9000000000000004,drop,deadline_miss,
task_53_0,dev_53,offload,15.076300000000002,15.076300000000002,,,0.0,0.0,0.0,,0.0,2.5,drop,deadline_miss,
task_106_0,dev_106,offload,15.2223,15.2223,,,3.5000000000007248,0.0,3.5366665764467795,,0.0,2.6000000000000005,drop,deadline_miss,
task_7_0,dev_7,offload,15.4634,15.4634,,,3.5000000000007248,0.0,3.5410230440916712,,0.0,2.4000000000000004,drop,deadline_miss,
task_79_2,dev_79,offload,15.4847,15.4847,,,7.400000000000517,0.0,7.408725167576754,,0.0,1.3000000000000003,drop,deadline_miss,
task_104_2,dev_104,offload,15.5469,15.5469,,,8.399999999999963,0.0,8.419760230293932,,0.0,1.9,drop,deadline_miss,
