index,reward
142,-14.882533970711952
143,-13.344098605469506
144,-11.260929538520584
145,-12.382774289957316
146,-14.35807766195266
147,-11.930156408243569
148,-13.48584389321688
149,-13.746153295939331
150,-11.856470129502483
151,-13.060036239527477
152,-13.446015670527846
153,-50.598263086130075
154,-12.354801189121028
155,-12.321935986050393
156,-46.03554799108725
157,-12.655307742696618
158,-14.60200704715346
159,-12.125304647284118
160,-41.22422679987524
161,-10.430198127580118
162,-15.02067926397568
163,-12.722458053823
164,-13.41621248271399
165,-13.33611776559434
166,-11.462834500117259
167,-13.846052211509333
168,-11.466252983094847
169,-13.638751104092872
170,-10.075994433393374
171,-13.814870770058526
172,-12.44911001394619
173,-14.764646137887084
174,-10.571225709816385
175,-12.373130631195243
176,-11.39150936489601
177,-13.797422104957043
178,-14.103823839710676
179,-10.371611226163505
180,-10.83105710930474
181,-37.23996278142133
182,-12.669081653775237
183,-14.24798206000326
184,-11.255217514563013
185,-12.896437604109112
186,-42.07198481890299
187,-13.10365801177999
188,-14.310415512922937
189,-11.947746146448209
190,-11.975562414887579
191,-9.935462969747174
192,-12.55970462519413
193,-13.11279635556095
194,-12.756048162176752
195,-12.575833914217567
196,-46.82413193362771
197,-16.38522939823926
198,-11.839852638402629
199,-12.43564803873941
200,-13.778860062230807
201,-11.85564406345348
202,-12.513292393616336
203,-9.846181152409212
204,-12.665070379466616
205,-47.27708590905623
206,-12.905349063034745
207,-10.886218405324186
208,-13.664277368774293
209,-14.698684423322472
210,-12.010961494398222
211,-12.8296221116932
212,-13.018674975564075
213,-11.114560750363
214,-10.70983286256936
215,-12.006288647815692
216,-13.0250427796762
217,-12.575908997979557
218,-13.218770141862626
219,-10.556652591283292
220,-11.929440164605822
221,-10.98295936844026
222,-12.379141285746485
223,-14.483938490964489
224,-11.834798516203735
225,-11.131335686902384
226,-13.130823016106604
227,-13.372039974081552
228,-11.024282601285277
229,-10.572624663717958
230,-13.296161919069222
231,-12.898855017466824
232,-11.63514073676348
233,-11.332086051662285
234,-12.425635128146522
235,-13.00299923607788
236,-10.29317752059042
237,-14.123999567655614
238,-11.337149151550634
239,-12.483674214837647
240,-42.085792806803234
241,-12.239156570613588
242,-13.008485714448584
243,-13.627364855000476
244,-15.544133422564835
245,-13.406668735539753
246,-11.900762297054849
247,-12.807810780956617
248,-11.152090851175208
249,-12.76535417001212
250,-13.307641856575573
251,-10.218948895281484
252,-14.15973832492369
253,-14.21115029471083
254,-11.755798345837187
255,-14.27250580170288
256,-13.877887153013988
257,-13.783275705973905
258,-11.229951457536423
259,-9.62003524882642
260,-13.74995189735489
261,-11.636265755238464
262,-12.167906954899905
263,-12.626835352915432
264,-11.439560212850196
265,-14.041810388346939
266,-13.509383464857768
267,-12.646587472332307
268,-9.463620470606637
269,-15.0767433968483
270,-11.165073719807387
271,-11.858299103199267
272,-16.540846174391486
273,-13.238491300586132
274,-12.025174021118378
275,-13.578702704520273
276,-10.967945600945193
277,-10.529332556583133
278,-12.479135663784263
279,-12.247716425616938
280,-44.36352952986611
281,-11.197761567872414
282,-11.470747713365418
283,-12.098282989739621
284,-11.693862878990611
285,-11.309058577602258
286,-49.643055051038644
287,-12.15558355908839
288,-12.832943787887753
289,-15.38398868054403
290,-13.447536387183588
291,-12.930019066490235
292,-11.054003377416537
293,-12.199297535153416
294,-14.324872422742212
295,-13.133868964081678
296,-11.072818944831088
297,-13.260265280700912
298,-10.502264419336592
299,-10.640437357922288
300,-11.694707018982033
301,-12.17253316618411
302,-11.34695142976981
303,-10.85863389500899
304,-10.923090335102694
305,-12.583851886194374
306,-13.055861558271733
307,-10.939885452446608
308,-12.437083087397447
309,-10.554939116973719
310,-12.375810265668207
311,-13.934953904890659
312,-14.322915573858392
313,-13.038430198424907
314,-14.89854066945107
315,-13.010750815030606
316,-12.377209634528805
317,-11.990200734371404
318,-12.70645330597515
319,-100.0
320,-13.373473848337936
321,-12.323609171946389
322,-12.732399707273803
323,-14.147001545939245
324,-14.663794676804406
325,-12.363889343899197
326,-11.56273415521722
327,-12.802687755652565
328,-12.879549852465356
329,-12.695156784982032
330,-13.182636644252433
331,-12.38110994705947
332,-13.497021367595519
333,-11.682691339555491
334,-12.274507991137096
335,-10.92134549035265
336,-10.09489944502923
337,-12.413138375761493
338,-11.469618529169459
339,-11.819756299065991
340,-44.7257927777538
341,-13.316092034401677
342,-13.743031316316715
343,-9.789320058117978
344,-12.484006924804923
345,-11.438008705325517
346,-14.587382051953988
347,-13.645579481706104
348,-13.151087116847894
349,-11.512390374556148
350,-10.917455036667564
351,-14.316581421810698
352,-13.097586631648543
353,-45.03525060684847
354,-11.816901772324222
355,-10.80857517027095
356,-11.797615558700551
357,-13.458578672949436
358,-12.67551738260537
359,-11.03781105453109
360,-11.350501958643505
361,-11.883520229904038
362,-13.041840440021
363,-13.362754138878213
364,-12.145914195292306
365,-11.55313411661251
366,-12.201250951777386
367,-12.392521144280995
368,-13.434135024167736
369,-12.45896165771808
370,-12.582539482110858
371,-10.25478833837907
372,-9.916371431393193
373,-13.77099180110153
374,-15.794263765141373
375,-12.240601896727338
376,-12.95903992047522
377,-13.236514540868649
378,-14.240656049891498
379,-49.383304606927574
380,-14.136402938360524
381,-10.052970843948067
382,-52.666915413107965
383,-49.85180920539722
384,-12.987854312561867
385,-15.001065182579602
386,-13.479944221269953
387,-12.73910724901723
388,-11.867613217086518
389,-11.942979862418962
390,-12.428225850045783
391,-12.790925997919397
392,-13.122323883530049
393,-13.546221625484579
394,-12.347457423583466
395,-11.836995588797572
396,-13.542289452774192
397,-12.792238359657393
398,-12.176392222818741
399,-11.022360760561002
400,-10.053190819137358
401,-13.521259706569664
402,-13.09993319427209
403,-11.674949939156852
404,-11.349054415472839
405,-14.189985074569075
406,-13.876296064164299
407,-10.435216379145933
408,-13.21737304019595
409,-13.028471238168967
410,-12.881844284193125
411,-8.697834387206242
412,-12.666438339454102
413,-12.092012152512616
414,-10.887271927728287
415,-10.835412651394824
416,-40.750093816395626
417,-11.384802478048691
418,-48.008203455843855
419,-12.239140687962996
420,-10.237518223999299
421,-13.872089126252487
422,-13.33534616212458
423,-11.973355340174443
424,-11.028935228857891
425,-14.04734595720661
426,-11.21835896516865
427,-11.418894035590949
428,-10.623677772245982
429,-13.434452286644923
430,-11.18540405626663
431,-13.463834914214297
432,-10.13312738141625
433,-10.766362947419443
