index,reward
242,-11.668861330941924
243,-12.246071439475198
244,-13.48037318865341
245,-13.522817224312792
246,-12.607674405242264
247,-14.383899843643446
248,-12.511458730735832
249,-12.577180741067176
250,-13.55403673054831
251,-12.882644666550005
252,-11.123690602345796
253,-11.531540700587792
254,-12.932262911261661
255,-13.115754855146148
256,-9.767626651105397
257,-8.281255394453906
258,-12.244700590267923
259,-11.605003418685994
260,-14.260200828430625
261,-12.70902176890154
262,-13.726894319037907
263,-10.71583058442503
264,-11.830008610117844
265,-13.783707681415803
266,-14.730190919999771
267,-13.387720060319634
268,-13.218234538429842
269,-13.249823416687455
270,-12.267225715173062
271,-12.941929303128223
272,-13.346149762937614
273,-12.310886044483276
274,-12.531651418374302
275,-12.104896515117742
276,-11.066066817342904
277,-12.508030557238607
278,-10.673007311223946
279,-13.507356450464238
280,-14.772554751908766
281,-14.716661881464281
282,-13.528280557762649
283,-14.225194876746237
284,-11.863838268484756
285,-11.292197007259327
286,-10.89979128104139
287,-10.170613317547488
288,-13.376739252053502
289,-12.52961144714333
290,-12.964071421110074
291,-13.455812772685201
292,-12.655145751840665
293,-13.552419730510547
294,-12.850465426791517
295,-10.639611911433624
296,-13.206876442314087
297,-11.614750393362872
298,-12.411199837065244
299,-15.890227008630342
300,-13.579145761563076
301,-11.79998324720066
302,-13.646172909963667
303,-12.01696756251507
304,-12.013073248050757
305,-11.089846862803684
306,-11.438662053313616
307,-11.87219623405841
308,-12.776566835358214
309,-12.299100549725308
310,-12.07752209480791
311,-14.064871287048843
312,-11.8429829183385
313,-12.238192299292423
314,-9.701027486992736
315,-14.089232310551536
316,-14.02942036475231
317,-10.997392871153526
318,-9.89476932515979
319,-12.548202103067844
320,-13.482523658359694
321,-11.083666709904534
322,-14.692264706442806
323,-10.392171720783214
324,-12.901176017710723
325,-13.833386298919468
326,-10.895454153902865
327,-13.01770634261928
328,-13.769645360377604
329,-11.271837239231159
330,-9.722071731632159
331,-11.299308241447966
332,-10.056105442053019
333,-12.198246230644727
334,-11.8540791547767
335,-12.580782873259325
336,-10.780082111378244
337,-10.317669273930882
338,-12.803447522325875
339,-13.685602261613232
340,-10.747602745492319
341,-10.22807670373032
342,-14.122562291410748
343,-13.947298423415354
344,-10.473437477724
345,-12.166838313011882
346,-14.040577922955894
347,-13.515350039054875
348,-12.129492104068014
349,-11.688639209105169
350,-13.209902748009075
